"func","desc"
"abs","Absolute value and complex magnitude"
"accumarray","Construct array with accumulation"
"acos","Inverse cosine; result in radians"
"acosd","Inverse cosine; result in degrees"
"acosh","Inverse hyperbolic cosine"
"acot","Inverse cotangent; result in radians"
"acotd","Inverse cotangent; result in degrees"
"acoth","Inverse hyperbolic cotangent"
"acsc","Inverse cosecant; result in radians"
"acscd","Inverse cosecant; result in degrees"
"acsch","Inverse hyperbolic cosecant"
"actxcontrol","Create Microsoft ActiveX control in figure window"
"actxcontrollist","List currently installed Microsoft ActiveX controls"
"actxcontrolselect","Create Microsoft ActiveX control from GUI"
"actxGetRunningServer","Handle to running instance of Automation server"
"actxserver","Create COM server"
"addCause (MException)","Record additional causes of exception"
"addevent","Add event to timeseries object"
"addframe (avifile)","Add frame to Audio/Video Interleaved (AVI) file"
"addlistener (handle)","Create event listener"
"addOptional (inputParser)","Add optional argument to Input Parser scheme"
"addParamValue (inputParser)","Add parameter name/value argument to Input Parser scheme"
"addpath","Add folders to search path"
"addpref","Add preference"
"addprop (dynamicprops)","Add dynamic property"
"addproperty","Add custom property to COM object"
"addRequired (inputParser)","Add required argument to Input Parser scheme"
"addsample",""
"timeseries method","Add data sample to timeseries object"
"addsampletocollection","Add sample to tscollection object"
"addtodate","Modify date number by field"
"addts","Add timeseries object to tscollection object"
"airy","Airy functions"
"align","Align user interface controls (uicontrols)and axes"
"alim","Set or query axes alpha limits"
"all","Determine whether all array elements are nonzero or true"
"allchild","Find all children of specified objects"
"alpha","Set transparency properties for objects in current axes"
"alphamap","Specify figure alphamap (transparency)"
"amd","Approximate minimum degree permutation"
"ancestor","Ancestor of graphics object"
"and","Find logical AND of array or scalar inputs"
"angle","Phase angle"
"annotation","Create annotation objects"
"Annotation Arrow Properties","Define annotation arrow properties"
"Annotation Doublearrow Properties","Define annotation doublearrow properties"
"Annotation Ellipse Properties","Define annotation ellipse properties"
"Annotation Line Properties","Define annotation line properties"
"Annotation Rectangle Properties","Define annotation rectangle properties"
"Annotation Textarrow Properties","Define annotation textarrow properties"
"Annotation Textbox Properties","Define annotation textbox properties"
"ans","Most recent answer"
"any","Determine whether any array elements are nonzero"
"append",""
"timeseries method","Concatenate time series objects in time dimension"
"area","Filled area 2-D plot"
"Areaseries Properties","Define areaseries properties"
"arrayfun","Apply function to each element of array"
"ascii",""
"FTP method","Set FTP transfer type toASCII"
"asec","Inverse secant; result in radians"
"asecd","Inverse secant; result in degrees"
"asech","Inverse hyperbolic secant"
"asin","Inverse sine; result in radians"
"asind","Inverse sine; result in degrees"
"asinh","Inverse hyperbolic sine"
"assert","Generate error when condition is violated"
"assignin","Assign value to variable in specified workspace"
"atan","Inverse tangent; result in radians"
"atan2","Four-quadrant inverse tangent"
"atand","Inverse tangent; result in degrees"
"atanh","Inverse hyperbolic tangent"
"audiodevinfo","Information about audio device"
"audioplayer","Create object for playing audio"
"audiorecorder","Create object for recording audio"
"aufinfo","Information about NeXT/SUN (.au) soundfile"
"auread","Read NeXT/SUN (.au) sound file"
"auwrite","Write NeXT/SUN (.au) sound file"
"avifile","Create new Audio/Video Interleaved (AVI) file"
"aviinfo","Information about Audio/Video Interleaved (AVI) file"
"aviread","Read Audio/Video Interleaved (AVI) file"
"axes","Create axes graphics object"
"Axes Properties","Modify axes properties"
"axis","Axis scaling and appearance"
"balance","Diagonal scaling to improve eigenvalue accuracy"
"bar","Plot bar graph"
"bar3","Plot 3-D bar graph"
"bar3h","Plot horizontal 3-D bar graph"
"barh","Plot bar graph horizontally"
"Barseries Properties","Define barseries properties"
"baryToCart",""
