"func","desc"
"abs","Absolute value and complex magnitude"
"accumarray","Construct array with accumulation"
"acos","Inverse cosine in radians"
"acosd","Inverse cosine in degrees"
"acosh","Inverse hyperbolic cosine"
"acot","Inverse cotangent in radians"
"acotd","Inverse cotangent in degrees"
"acoth","Inverse hyperbolic cotangent"
"acsc","Inverse cosecant in radians"
"acscd","Inverse cosecant in degrees"
"acsch","Inverse hyperbolic cosecant"
"actxcontrol","Create Microsoft ActiveX control in figure window"
"actxcontrollist","List currently installed Microsoft ActiveX controls"
"actxcontrolselect","Create Microsoft ActiveX control from GUI"
"actxGetRunningServer","Handle to running instance of Automation server"
"actxserver","Create COM server"
"addCause (MException)","Record additional causes of exception"
"addevent","Add event to timeseries object"
"addframe","Add frame to Audio/Video Interleaved (AVI) file"
"addlistener","Create event listener"
"addOptional","Add optional argument to Input Parser scheme"
"addParamValue","Add parameter name and value argument to Input Parserscheme"
"addpath","Add folders to search path"
"addpref","Add preference"
"addprop","Add dynamic property"
"addproperty","Add custom property to COM object"
"addRequired","Add required argument to Input Parser scheme"
"addsample","Add data sample to timeseries object"
"addsampletocollection","Add sample to tscollection object"
"addtodate","Modify date number by field"
"addts","Add timeseries object to tscollection object"
"airy","Airy Functions"
"align","Align user interface controls (uicontrols)and axes"
"alim","Set or query axes alpha limits"
"all","Determine if all array elements are nonzero or true"
"allchild","Find all children of specified objects"
"alpha","Set transparency properties for objects in current axes"
"alphamap","Specify figure alphamap (transparency)"
"amd","Approximate minimum degree permutation"
"ancestor","Ancestor of graphics object"
"and","Find logical AND of array or scalar inputs"
"angle","Phase angle"
"annotation","Create annotation objects"
"ans","Most recent answer"
"any","Determine if any array elements are nonzero"
"append","Concatenate time series objects in time dimension"
"area","Filled area 2-D plot"
"Arithmetic
Operators","Matrix and array arithmetic"
"arrayfun","Apply function to each element of array"
"asec","Inverse secant in radians"
"asecd","Inverse secant in degrees"
"asech","Inverse hyperbolic secant"
"asin","Inverse sine in radians"
"asind","Inverse sine in degrees"
"asinh","Inverse hyperbolic sine"
"assert","Generate error when condition is violated"
"assignin","Assign value to variable in specified workspace"
"atan","Inverse tangent in radians"
"atan2","Four-quadrant inverse tangent"
"atan2d","Four-quadrant inverse tangent in degrees"
"atand","Inverse tangent in degrees"
"atanh","Inverse hyperbolic tangent"
"audiodevinfo","Information about audio device"
"audioinfo","Information about audio file"
"audioplayer","Create object for playing audio"
"audioread","Read audio file"
"audiorecorder","Create object for recording audio"
"audiowrite","Write audio file"
"aufinfo","Information about NeXT/SUN (.au) soundfile"
"auread","Read NeXT/SUN (.au) sound file"
"auwrite","Write NeXT/SUN (.au) sound file"
"avifile","Create new Audio/Video Interleaved (AVI) file"
"aviinfo","Information about Audio/Video Interleaved (AVI) file"
"aviread","Read Audio/Video Interleaved (AVI) file"
"axes","Create axes graphics object"
"axis","Axis scaling and appearance"
"balance","Diagonal scaling to improve eigenvalue accuracy"
"bar","Bar graph"
"bar3","Plot 3-D bar graph"
"bar3h","Plot horizontal 3-D bar graph"
"barh","Plot bar graph horizontally"
"barycentricToCartesian","Converts point coordinates from barycentric to Cartesian"
"baryToCart","(Will be removed) Convert point coordinates from barycentricto Cartesian"
"base2dec","Convert base N number string to decimal number"
"beep","Produce beep sound"
"BeginInvoke","Initiate asynchronous .NET delegate call"
"bench","MATLAB benchmark"
"besselh","Bessel function of third kind (Hankel function)"
"besseli","Modified Bessel function of first kind"
"besselj","Bessel function of first kind"
"besselk","Modified Bessel function of second kind"
"bessely","Bessel function of second kind"
"beta","Beta function"
"betainc","Incomplete beta function"
